,Persons,Males,Females,Number of households,Males- Literate,Females- Literate,Total Educated,Below Primary,Primary,Middle,Matric/Higher Secondary/Diploma,Graduate and Above,0 - 4 years,5 - 14 years,15 - 59 years,60 years and above (Incl. A.N.S.),Total workers,Main workers,Non-workers,Religeon#1 Population,Imp Town#2 Population,Imp Town#3 Population,Persons- literate
144,1448940.0,737880.0,711060.0,238489.0,372768.0,156207.0,528975.0,237570.0,143657.0,65123.0,39067.0,11356.0,212461.0,421813.0,711548.0,103118.0,727209.0,506324.0,721731.0,1368861.0,39280.0,25884.0,528975.0
145,851107.0,437949.0,413158.0,159307.0,244514.0,123424.0,367938.0,133778.0,92703.0,54237.0,49739.0,16148.0,115362.0,228192.0,449747.0,57806.0,343905.0,245762.0,507202.0,810765.0,35544.0,24789.0,367938.0
146,1820251.0,918856.0,901395.0,339660.0,536694.0,269603.0,806297.0,276791.0,243891.0,123555.0,102687.0,32232.0,228999.0,499194.0,938567.0,153491.0,724883.0,518158.0,1095368.0,1677038.0,38883.0,31482.0,806297.0
147,2181670.0,1129920.0,1051750.0,376731.0,742535.0,426321.0,1168856.0,322150.0,294587.0,189918.0,222930.0,99061.0,255578.0,545427.0,1218881.0,161784.0,856809.0,690818.0,1324861.0,1869044.0,123759.0,116222.0,1168856.0
148,1211671.0,626436.0,585235.0,192579.0,359906.0,153568.0,513474.0,167266.0,130861.0,86903.0,75613.0,25505.0,149987.0,325576.0,639460.0,96648.0,532682.0,425230.0,678989.0,1062365.0,31365.0,27236.0,513474.0
149,962620.0,504818.0,457802.0,169479.0,296290.0,141483.0,437773.0,152324.0,115674.0,71990.0,55644.0,17973.0,115623.0,261639.0,517612.0,67746.0,456937.0,305977.0,505683.0,881956.0,26918.0,21163.0,437773.0
150,2013789.0,1026650.0,987139.0,384540.0,567468.0,271885.0,839353.0,282860.0,219767.0,120984.0,127141.0,49022.0,241979.0,503364.0,1088060.0,180386.0,939848.0,764916.0,1073941.0,1859972.0,27792.0,24362.0,839353.0
151,987024.0,493459.0,493565.0,193744.0,296250.0,152796.0,449046.0,162210.0,127994.0,63856.0,57865.0,16145.0,122257.0,251541.0,528460.0,84766.0,401858.0,275912.0,585166.0,939811.0,37026.0,16672.0,449046.0
152,2633312.0,1336004.0,1297308.0,507829.0,797694.0,457705.0,1255399.0,419447.0,293270.0,166985.0,181056.0,85944.0,335536.0,674594.0,1431976.0,191206.0,1100880.0,724120.0,1532432.0,2449773.0,19648.0,16368.0,1255399.0
153,1107643.0,547791.0,559852.0,202701.0,283512.0,141928.0,425440.0,147952.0,118641.0,64365.0,53631.0,15761.0,163491.0,285435.0,542024.0,116693.0,531376.0,272283.0,576267.0,1068319.0,31127.0,6621.0,425440.0
154,1501589.0,760686.0,740903.0,261613.0,362829.0,166652.0,529481.0,182922.0,134908.0,79162.0,67938.0,21972.0,219593.0,405216.0,745421.0,131359.0,709412.0,529393.0,792177.0,1425287.0,10108.0,9947.0,529481.0
155,1803524.0,918063.0,885461.0,356833.0,539465.0,267640.0,807105.0,288374.0,227075.0,118142.0,106971.0,38274.0,211036.0,437734.0,1012725.0,142029.0,930339.0,749689.0,873185.0,1666452.0,53327.0,35422.0,807105.0
156,1568525.0,827128.0,741397.0,280883.0,593065.0,375716.0,968781.0,252606.0,240399.0,164047.0,194898.0,81681.0,168079.0,398729.0,899961.0,101756.0,541362.0,420734.0,1027163.0,1344633.0,30973.0,20372.0,968781.0
157,1021653.0,535137.0,486516.0,170824.0,330676.0,164445.0,495121.0,175161.0,145677.0,76951.0,64461.0,18778.0,127761.0,282325.0,537512.0,74055.0,436375.0,300615.0,585278.0,948343.0,26784.0,22796.0,495121.0
158,1180323.0,612804.0,567519.0,201489.0,369920.0,186672.0,556592.0,218513.0,144230.0,77818.0,60857.0,19959.0,140357.0,304698.0,628776.0,106492.0,554781.0,399386.0,625542.0,1087934.0,35695.0,30103.0,556592.0
159,4214505.0,2150090.0,2064415.0,789164.0,1381748.0,923531.0,2305279.0,675665.0,681713.0,233698.0,555114.0,126507.0,433021.0,986374.0,2455680.0,339430.0,1877774.0,1537645.0,2336731.0,3565153.0,67170.0,58081.0,2305279.0
160,1651892.0,834247.0,817645.0,293645.0,494544.0,300241.0,794785.0,254452.0,230572.0,73843.0,175891.0,43406.0,183689.0,410814.0,936098.0,121291.0,719659.0,561559.0,932233.0,1424121.0,70248.0,57883.0,794785.0
161,1806918.0,926424.0,880494.0,317379.0,543869.0,322692.0,866561.0,276393.0,240833.0,81050.0,193305.0,56251.0,196532.0,468652.0,995702.0,146032.0,718213.0,551972.0,1088705.0,1495080.0,31482.0,28560.0,866561.0
162,3130922.0,1592789.0,1538133.0,536056.0,812860.0,484585.0,1297445.0,397499.0,345382.0,123657.0,310638.0,78138.0,358729.0,882140.0,1667646.0,222407.0,1350072.0,1010430.0,1780850.0,2381497.0,58811.0,50562.0,1297445.0
163,1502373.0,771022.0,731351.0,252250.0,468571.0,299787.0,768358.0,197821.0,223243.0,76573.0,196756.0,46559.0,160329.0,414390.0,807175.0,120479.0,557603.0,424985.0,944770.0,1020174.0,58785.0,36517.0,768358.0
164,1669762.0,841840.0,827922.0,297775.0,429277.0,247522.0,676799.0,245076.0,177843.0,58192.0,134598.0,32550.0,188170.0,469845.0,912629.0,99118.0,732762.0,544347.0,937000.0,1417051.0,61262.0,37613.0,676799.0
165,1196089.0,603312.0,592777.0,210888.0,339944.0,194603.0,534547.0,216383.0,140403.0,45683.0,93327.0,20820.0,139225.0,333037.0,647438.0,76389.0,554506.0,422208.0,641583.0,1042294.0,56160.0,21183.0,534547.0
166,971835.0,493533.0,478302.0,181500.0,335442.0,215920.0,551362.0,180661.0,155973.0,53681.0,122380.0,29358.0,94480.0,229712.0,572697.0,74946.0,457817.0,388763.0,514018.0,825166.0,33417.0,32561.0,551362.0
167,1604253.0,823204.0,781049.0,297494.0,574522.0,418028.0,992550.0,265574.0,270372.0,93207.0,262645.0,86968.0,151136.0,355070.0,979593.0,118454.0,684492.0,587018.0,919761.0,1221335.0,25710.0,22202.0,992550.0
168,1353644.0,686876.0,666768.0,273422.0,505270.0,398754.0,904024.0,307104.0,246858.0,101631.0,185288.0,52839.0,121345.0,279343.0,844784.0,108172.0,581278.0,455302.0,772366.0,1132005.0,58702.0,53290.0,904024.0
170,2027140.0,1029714.0,997426.0,373034.0,599137.0,381346.0,980483.0,314498.0,275866.0,108406.0,199472.0,58253.0,213583.0,535644.0,1146692.0,131221.0,920821.0,801369.0,1106319.0,1739522.0,164240.0,42919.0,980483.0
171,1517896.0,776221.0,741675.0,296718.0,503013.0,346677.0,849690.0,228923.0,239747.0,108463.0,211183.0,45637.0,135181.0,345374.0,909656.0,127685.0,721835.0,576035.0,796061.0,1388506.0,49067.0,48806.0,849690.0
172,1790952.0,917705.0,873247.0,337484.0,606552.0,439068.0,1045620.0,277453.0,289955.0,136028.0,259402.0,62560.0,166484.0,406394.0,1084308.0,133766.0,783781.0,631726.0,1007171.0,1532714.0,73047.0,41907.0,1045620.0
173,1642545.0,830559.0,811986.0,341224.0,593890.0,475044.0,1068934.0,269618.0,307761.0,145435.0,263089.0,70661.0,146012.0,338653.0,1037965.0,119915.0,714671.0,586832.0,927874.0,1401087.0,160662.0,50131.0,1068934.0
175,1140905.0,574911.0,565994.0,246110.0,404743.0,318867.0,723610.0,174942.0,217446.0,104208.0,175305.0,38887.0,97475.0,226638.0,724868.0,91924.0,516677.0,428830.0,624228.0,1004674.0,34066.0,30814.0,723610.0
176,2584711.0,1313801.0,1270910.0,550473.0,887341.0,638144.0,1525485.0,353737.0,442987.0,246919.0,376384.0,79317.0,213120.0,543436.0,1590903.0,237252.0,1316939.0,1050291.0,1267772.0,2349801.0,53104.0,50088.0,1525485.0
177,2536069.0,1286193.0,1249876.0,504185.0,815459.0,566808.0,1382267.0,329607.0,404772.0,223831.0,332698.0,65652.0,230185.0,573769.0,1515044.0,217071.0,1235028.0,1014667.0,1301041.0,2196660.0,113907.0,65493.0,1382267.0
178,6537124.0,3426599.0,3110525.0,1460697.0,2663055.0,2119510.0,4782565.0,665866.0,993052.0,591695.0,1735275.0,736744.0,533851.0,1216105.0,4367420.0,419748.0,2566914.0,2378180.0,3970210.0,5188807.0,264940.0,201652.0,4782565.0
180,1763705.0,888034.0,875671.0,373672.0,551271.0,400189.0,951460.0,199499.0,286608.0,170984.0,230259.0,46091.0,142951.0,360414.0,1096888.0,163452.0,840419.0,682440.0,923286.0,1667640.0,35851.0,26521.0,951460.0
181,1721669.0,859086.0,862583.0,364806.0,593329.0,451255.0,1044584.0,238258.0,313894.0,187201.0,239412.0,52127.0,140986.0,348986.0,1081127.0,150570.0,864711.0,702827.0,856958.0,1587287.0,43140.0,33253.0,1044584.0
182,1897730.0,938434.0,959296.0,362216.0,736962.0,654776.0,1391738.0,338980.0,483612.0,157540.0,310789.0,93990.0,162895.0,368371.0,1207195.0,159269.0,946390.0,841509.0,951340.0,1301603.0,49895.0,48070.0,1391738.0
183,548561.0,274831.0,273730.0,130110.0,200588.0,172953.0,373541.0,83154.0,109557.0,61766.0,90068.0,24723.0,50319.0,106143.0,349834.0,42265.0,266378.0,247574.0,282183.0,450694.0,15213.0,13186.0,373541.0
184,2641027.0,1344670.0,1296357.0,545741.0,836195.0,634960.0,1471155.0,306190.0,419378.0,217783.0,373399.0,131222.0,225010.0,551281.0,1649306.0,215430.0,1110264.0,926129.0,1530763.0,2309267.0,48232.0,43900.0,1471155.0
185,965462.0,489940.0,475522.0,203430.0,254672.0,178028.0,432700.0,112389.0,133704.0,65811.0,88966.0,19034.0,79640.0,197064.0,601539.0,87219.0,448369.0,336961.0,517093.0,863591.0,52607.0,26340.0,432700.0
187,2098359.0,1084417.0,1013942.0,352829.0,510338.0,239955.0,750293.0,206209.0,216865.0,107506.0,150002.0,35898.0,280238.0,618580.0,1061090.0,138451.0,793658.0,444921.0,1304701.0,1740948.0,23441.0,19082.0,750293.0
189,2277475.0,1167793.0,1109682.0,391606.0,683590.0,386300.0,1069890.0,321029.0,282228.0,166762.0,214238.0,65684.0,281893.0,655942.0,1211787.0,127853.0,790049.0,532895.0,1487426.0,1870586.0,85075.0,73434.0,1069890.0
191,1904430.0,960679.0,943751.0,301872.0,469399.0,197986.0,667385.0,231361.0,196026.0,90613.0,98939.0,24811.0,267261.0,558434.0,963754.0,114981.0,644644.0,340925.0,1259786.0,1475201.0,8804.0,7926.0,667385.0
192,1165390.0,608878.0,556512.0,190037.0,327557.0,142095.0,469652.0,151615.0,132877.0,67813.0,80065.0,26206.0,151695.0,326959.0,613372.0,73364.0,432714.0,283711.0,732676.0,910409.0,47326.0,14137.0,469652.0
196,1759602.0,897364.0,862238.0,331318.0,462781.0,228053.0,690834.0,230245.0,209924.0,105943.0,99816.0,22993.0,208261.0,473559.0,972781.0,105001.0,778378.0,470354.0,981224.0,1323468.0,33236.0,22558.0,690834.0
197,2397102.0,1278946.0,1118156.0,427939.0,860583.0,488001.0,1348584.0,316204.0,325848.0,246471.0,329778.0,102522.0,253402.0,649208.0,1381462.0,113030.0,664058.0,492501.0,1733044.0,1944757.0,89534.0,85100.0,1348584.0
198,1777662.0,938436.0,839226.0,317378.0,600048.0,323102.0,923150.0,198945.0,214614.0,159357.0,247536.0,82686.0,189029.0,471903.0,1030028.0,86702.0,509310.0,336131.0,1268352.0,1491855.0,97221.0,83474.0,923150.0
199,2785064.0,1436976.0,1348088.0,505508.0,920164.0,580377.0,1500541.0,339729.0,354556.0,249307.0,357487.0,160004.0,302609.0,735877.0,1569003.0,177575.0,1076904.0,750962.0,1708160.0,1399301.0,29282.0,25222.0,1500541.0
202,2082795.0,1054641.0,1028154.0,405251.0,567204.0,290097.0,857301.0,206253.0,233474.0,156525.0,193556.0,49399.0,249509.0,562101.0,1149941.0,121244.0,917757.0,535154.0,1165038.0,1043701.0,63648.0,38403.0,857301.0
203,1982988.0,1027433.0,955555.0,374772.0,700242.0,468971.0,1169213.0,227792.0,263554.0,189301.0,333179.0,136165.0,190115.0,454201.0,1203034.0,135638.0,692664.0,455527.0,1290324.0,1318485.0,166125.0,67121.0,1169213.0
207,245040.0,132917.0,112123.0,54581.0,94850.0,64671.0,159521.0,45303.0,40720.0,25189.0,33463.0,10089.0,21033.0,57659.0,153257.0,13091.0,116529.0,92577.0,128511.0,157321.0,14357.0,5432.0,159521.0
222,905764.0,466191.0,439573.0,168619.0,230769.0,152772.0,383541.0,123002.0,97692.0,63583.0,76399.0,11591.0,107419.0,253840.0,497450.0,47055.0,334849.0,234771.0,570915.0,594168.0,13508.0,12440.0,383541.0
223,1637344.0,841044.0,796300.0,297121.0,373446.0,251923.0,625369.0,228580.0,152632.0,105492.0,101129.0,23131.0,233963.0,464173.0,848258.0,90950.0,470360.0,399201.0,1166984.0,1216455.0,31171.0,28780.0,625369.0
224,822035.0,420251.0,401784.0,146826.0,220277.0,164393.0,384670.0,145790.0,92621.0,67036.0,60309.0,10964.0,108415.0,230617.0,437701.0,45302.0,273925.0,209928.0,548110.0,441516.0,12547.0,5318.0,384670.0
226,1647201.0,848578.0,798623.0,290494.0,448021.0,304661.0,752682.0,241853.0,162333.0,132818.0,164157.0,33386.0,209571.0,450596.0,881878.0,105156.0,517088.0,408537.0,1130113.0,977943.0,35725.0,16730.0,752682.0
227,2522324.0,1326981.0,1195343.0,490740.0,930256.0,677935.0,1608191.0,355779.0,312309.0,275453.0,466555.0,169680.0,237213.0,595306.0,1542431.0,147374.0,842253.0,697810.0,1680071.0,1836153.0,25151.0,16286.0,1608191.0
229,1504320.0,773861.0,730459.0,271841.0,407632.0,277366.0,684998.0,214363.0,155853.0,127004.0,139276.0,23154.0,183605.0,390243.0,840655.0,89817.0,527993.0,404428.0,976327.0,868532.0,18228.0,17783.0,684998.0
231,2314629.0,1190950.0,1123679.0,410882.0,665697.0,499920.0,1165617.0,369818.0,288125.0,212668.0,226919.0,45957.0,290961.0,618901.0,1255658.0,149109.0,727641.0,566195.0,1586988.0,1180267.0,35718.0,34423.0,1165617.0
232,1681513.0,871568.0,809945.0,315116.0,494965.0,335614.0,830579.0,255139.0,204000.0,144886.0,172379.0,36083.0,185036.0,433724.0,967533.0,95220.0,634723.0,465283.0,1046790.0,1287646.0,25349.0,18824.0,830579.0
234,571944.0,294643.0,277301.0,96949.0,181645.0,122961.0,304606.0,80592.0,62969.0,57868.0,85106.0,10527.0,65179.0,161903.0,313682.0,31180.0,250146.0,155431.0,321798.0,548780.0,11863.0,4453.0,304606.0
235,1150062.0,601099.0,548963.0,218885.0,355444.0,232858.0,588302.0,166316.0,143102.0,109758.0,129043.0,24927.0,122241.0,291138.0,673125.0,63558.0,466351.0,349847.0,683711.0,1029142.0,24049.0,20553.0,588302.0
236,1185072.0,613555.0,571517.0,228574.0,406265.0,291883.0,698148.0,166630.0,148411.0,130235.0,193998.0,41634.0,114701.0,286303.0,717048.0,67020.0,472419.0,342708.0,712653.0,1075878.0,23763.0,19021.0,698148.0
237,1051736.0,545476.0,506260.0,207185.0,382936.0,289222.0,672158.0,153864.0,131634.0,145992.0,198390.0,31707.0,101065.0,246805.0,637480.0,66386.0,430523.0,287319.0,621213.0,927706.0,17502.0,13047.0,672158.0
238,999221.0,517015.0,482206.0,195691.0,375400.0,285191.0,660591.0,150497.0,126171.0,123591.0,201640.0,41283.0,89501.0,231611.0,615001.0,63108.0,414348.0,285092.0,584873.0,927858.0,20997.0,7545.0,660591.0
239,946279.0,490286.0,455993.0,181692.0,322048.0,235312.0,557360.0,160261.0,124707.0,116314.0,123363.0,21774.0,94890.0,242820.0,557331.0,51238.0,388640.0,269896.0,557639.0,813263.0,13446.0,9922.0,557360.0
240,813311.0,422250.0,391061.0,144334.0,232652.0,149922.0,382574.0,129961.0,97842.0,71385.0,63345.0,9112.0,98925.0,229355.0,444027.0,41004.0,330480.0,231638.0,482831.0,670139.0,14219.0,8445.0,382574.0
241,188079.0,99822.0,88257.0,37294.0,63610.0,42744.0,106354.0,27696.0,26167.0,20031.0,25701.0,4126.0,20887.0,47952.0,110469.0,8771.0,70199.0,55031.0,117880.0,131492.0,9131.0,7738.0,106354.0
242,1444921.0,743042.0,701879.0,273694.0,474145.0,350292.0,824437.0,264692.0,210291.0,152273.0,149889.0,34464.0,155307.0,361097.0,830268.0,98249.0,465734.0,364814.0,979187.0,886761.0,10007.0,9802.0,824437.0
243,1007976.0,517680.0,490296.0,179141.0,319205.0,230914.0,550119.0,206569.0,145859.0,89941.0,81460.0,17096.0,120430.0,268874.0,549498.0,69174.0,303294.0,235016.0,704682.0,527214.0,11297.0,9940.0,550119.0
263,1346336.0,681500.0,664836.0,296514.0,458534.0,291286.0,749820.0,245140.0,249457.0,93408.0,118362.0,28280.0,119279.0,290084.0,803080.0,133893.0,593530.0,384710.0,752806.0,1327967.0,19157.0,15442.0,749820.0
264,509716.0,261941.0,247775.0,106839.0,187019.0,125861.0,312880.0,89339.0,90669.0,43070.0,66985.0,16249.0,44550.0,115812.0,306507.0,42847.0,189593.0,133148.0,320123.0,490127.0,76100.0,32826.0,312880.0
265,935613.0,475122.0,460491.0,202247.0,324711.0,220150.0,544861.0,163395.0,157269.0,69036.0,105367.0,37291.0,84368.0,209180.0,561225.0,80840.0,421346.0,282174.0,514267.0,873795.0,39204.0,26394.0,544861.0
268,1561990.0,790036.0,771954.0,326784.0,479337.0,301581.0,780918.0,220226.0,216473.0,129539.0,153161.0,43741.0,162527.0,385830.0,906767.0,106866.0,621226.0,395160.0,940764.0,1525874.0,51845.0,38689.0,780918.0
269,2223456.0,1123200.0,1100256.0,472123.0,616003.0,348857.0,964860.0,279035.0,257013.0,167052.0,189667.0,53696.0,237210.0,566574.0,1257071.0,162601.0,1027797.0,618457.0,1195659.0,1859639.0,21896.0,21441.0,964860.0
270,2024508.0,1036511.0,987997.0,403653.0,722244.0,497251.0,1219495.0,352280.0,365601.0,177018.0,235371.0,76372.0,193943.0,495987.0,1172333.0,162245.0,645133.0,483345.0,1379375.0,1937765.0,29072.0,27794.0,1219495.0
271,1333749.0,675642.0,658107.0,238888.0,487993.0,354862.0,842855.0,234531.0,264062.0,124330.0,161403.0,46921.0,125928.0,328765.0,763577.0,115479.0,385119.0,301570.0,948630.0,1248486.0,30006.0,18550.0,842855.0
274,2341094.0,1207781.0,1133313.0,466326.0,909527.0,665215.0,1574742.0,390398.0,428041.0,251400.0,354489.0,134291.0,192634.0,492299.0,1424458.0,231703.0,794034.0,613883.0,1547060.0,2199526.0,42622.0,15989.0,1574742.0
276,1066878.0,544001.0,522877.0,222023.0,377237.0,262126.0,639363.0,206700.0,191465.0,87602.0,109048.0,31348.0,97462.0,241556.0,632513.0,95347.0,356513.0,261875.0,710365.0,1060943.0,20234.0,15003.0,639363.0
277,1140003.0,587234.0,552769.0,230711.0,409260.0,262173.0,671433.0,206251.0,198111.0,89695.0,126552.0,37745.0,110129.0,268898.0,673502.0,87474.0,453570.0,299052.0,686433.0,1127926.0,34998.0,18592.0,671433.0
278,864516.0,446177.0,418339.0,178231.0,319662.0,210178.0,529840.0,177851.0,166957.0,71909.0,80575.0,22038.0,75395.0,187035.0,512505.0,89581.0,288053.0,205676.0,576463.0,859219.0,8757.0,8735.0,529840.0
279,1877395.0,986886.0,890509.0,374338.0,762288.0,548579.0,1310867.0,296834.0,337969.0,197922.0,290926.0,169403.0,155718.0,392126.0,1174599.0,154952.0,575063.0,480247.0,1302332.0,1798214.0,53251.0,39054.0,1310867.0
280,1502682.0,763389.0,739293.0,287463.0,586378.0,438145.0,1024523.0,302914.0,306686.0,173065.0,167251.0,58355.0,126508.0,321644.0,906393.0,148137.0,450540.0,373481.0,1052142.0,1459872.0,16915.0,15013.0,1024523.0
281,3160635.0,1581986.0,1578649.0,644919.0,1005585.0,626137.0,1631722.0,515568.0,522328.0,191227.0,269998.0,76807.0,314793.0,771398.0,1795114.0,279330.0,1305932.0,819726.0,1854703.0,3132628.0,21347.0,20739.0,1631722.0
285,541835.0,275601.0,266234.0,115533.0,186549.0,105382.0,291931.0,101666.0,92739.0,38938.0,39324.0,9162.0,52316.0,127120.0,312878.0,49521.0,236980.0,148695.0,304855.0,538472.0,14539.0,7989.0,291931.0
286,1337194.0,673985.0,663209.0,303385.0,413224.0,224824.0,638048.0,196334.0,202083.0,80273.0,107242.0,28036.0,131174.0,301583.0,776713.0,127724.0,559750.0,351689.0,777444.0,1312924.0,27904.0,20095.0,638048.0
288,1335494.0,667526.0,667968.0,320624.0,349473.0,163910.0,513383.0,174170.0,156321.0,67866.0,75827.0,17904.0,149347.0,307070.0,769364.0,109713.0,620950.0,382050.0,714544.0,1322363.0,16917.0,15759.0,513383.0
289,831109.0,409792.0,421317.0,190381.0,162061.0,85768.0,247829.0,78406.0,71574.0,30897.0,43441.0,12584.0,96043.0,207717.0,476079.0,51270.0,399184.0,249909.0,431925.0,770572.0,21198.0,18685.0,247829.0
290,1025766.0,515162.0,510604.0,227026.0,198294.0,86244.0,284538.0,108940.0,78755.0,35023.0,30256.0,6677.0,124190.0,271024.0,566040.0,64512.0,507395.0,264800.0,518371.0,991639.0,24859.0,6406.0,284538.0
291,1180637.0,590743.0,589894.0,284876.0,231055.0,118989.0,350044.0,106236.0,93337.0,43481.0,66172.0,21567.0,131988.0,291370.0,687502.0,69777.0,570435.0,353367.0,610202.0,1119527.0,58884.0,39548.0,350044.0
293,1609172.0,830644.0,778528.0,318737.0,581420.0,426868.0,1008288.0,293918.0,238539.0,184564.0,192799.0,71644.0,135457.0,371091.0,992719.0,109905.0,569442.0,478851.0,1039730.0,1237714.0,107197.0,42998.0,1008288.0
294,3401173.0,1751145.0,1650028.0,688139.0,1082575.0,727508.0,1810083.0,726663.0,450354.0,294751.0,230179.0,70820.0,349513.0,863702.0,1975720.0,212238.0,1303136.0,1025433.0,2098037.0,2833229.0,100348.0,72999.0,1810083.0
295,2479155.0,1272094.0,1207061.0,517878.0,816196.0,570769.0,1386965.0,592743.0,365660.0,210694.0,153907.0,40012.0,259145.0,644098.0,1398737.0,177175.0,966705.0,754311.0,1512450.0,1871857.0,34273.0,21107.0,1386965.0
296,2441794.0,1259737.0,1182057.0,464648.0,583960.0,339517.0,923477.0,407587.0,195557.0,147724.0,107439.0,29145.0,344679.0,698892.0,1270989.0,127234.0,935524.0,716483.0,1506270.0,1263001.0,52738.0,47650.0,923477.0
298,3290468.0,1689406.0,1601062.0,631935.0,801770.0,530934.0,1332704.0,581062.0,313521.0,203944.0,159619.0,44408.0,429488.0,928902.0,1753984.0,178094.0,1340706.0,967143.0,1949762.0,1636171.0,62959.0,5773.0,1332704.0
299,5866569.0,3005000.0,2861569.0,1140095.0,1502724.0,1117814.0,2620538.0,1087866.0,681327.0,384598.0,308022.0,91654.0,698034.0,1637356.0,3191673.0,339506.0,2005174.0,1672311.0,3861395.0,3735380.0,74458.0,72850.0,2620538.0
